20000,serial,1,15.656
40000,serial,1,62.699
80000,serial,1,252.076
120000,serial,1,570.075
140000,serial,1,776.634
160000,serial,1,33879.9
180000,serial,1,2099.26
200000,serial,1,1907.34
20000,serial,1,15.785
40000,serial,1,63.183
80000,serial,1,264.804
120000,serial,1,615.831
140000,serial,1,858.811
160000,serial,1,1160.33
180000,serial,1,1484.41
200000,serial,1,1889.46
20000,serial,1,15.893
40000,serial,1,64.754
80000,serial,1,265.299
120000,serial,1,626.037
140000,serial,1,870.134
160000,serial,1,1172.47
